id,ae_ote_to_target,ae_average_ote_pay,ae_ramp_period,channel_ote,channel_average_ote_pay,channel_ramp_period,cs_ote,clients_to_cs,lead_price,lead_close_probability,outsourced_leads,marketing_ote,marketing_ote_to_target,ae_redundancy,senior_cs_to_csm,csm_to_cs,sm_to_aes,spm_to_cm,sd_to_sms,sd_to_cro,cm_to_cpms,smm_to_team_member,business_id,financial_year_id,created_at,updated_at,bde_ote_to_target,bde_average_ote_pay,channel_partner_ote_to_target,channel_partner_average_ote_pay,option1_recruitement_pay_per_hire_percent,option2_recruitement_pay_per_hire,option3_recruitement_pay_per_hire,channel_partner_ramp_period,bde_ramp_period,budget_percentage,marketing_team_count,sdr,sdr_ote,id:1,year,business_id:1,created_at:1,updated_at:1,Financial_year
2ee5c626-2c46-4f39-97f8-dabf8e4f9605,15,180000,2,5,12000,2,0,100,250,10,60,60000,0,20,5,8,8,8,6,1,6,1,77d83794-43b4-4b18-a55b-ddbf563ef936,fe39dc24-febb-4e08-9d82-09a85e310761,2023-11-01 08:00:40,2024-02-23 07:25:05,10,0,10,0,18,7000,144000,2,2,10,0,40,12000,fe39dc24-febb-4e08-9d82-09a85e310761,2025,77d83794-43b4-4b18-a55b-ddbf563ef936,2023-11-01 08:00:40,2023-11-01 08:00:40,2025
7acb327d-9c45-4b57-9634-8889f79ea0f1,15,180000,2,5,12000,2,0,100,250,10,40,60000,0,20,5,8,8,8,6,1,6,1,77d83794-43b4-4b18-a55b-ddbf563ef936,c9dedb45-af98-4b7d-867c-7db3293b7834,2023-11-01 08:00:40,2024-02-23 07:25:05,10,0,10,0,18,7000,144000,2,2,10,0,60,12000,c9dedb45-af98-4b7d-867c-7db3293b7834,2026,77d83794-43b4-4b18-a55b-ddbf563ef936,2023-11-01 08:00:40,2023-11-01 08:00:40,2026
ebfed0b8-d79f-4e69-ad96-faaa35e14870,15,180000,2,5,12000,2,0,100,250,10,20,60000,0,20,5,8,8,8,6,1,6,1,77d83794-43b4-4b18-a55b-ddbf563ef936,bfd2bd1a-b9b7-49ca-9ffb-3cd5a7f074eb,2023-11-01 08:00:40,2024-02-23 07:25:05,10,0,10,0,18,7000,144000,2,2,10,0,80,12000,bfd2bd1a-b9b7-49ca-9ffb-3cd5a7f074eb,2027,77d83794-43b4-4b18-a55b-ddbf563ef936,2023-11-01 08:00:40,2023-11-01 08:00:40,2027
fff5127a-3e56-449a-ac59-ddef85955962,15,180000,2,5,12000,2,0,100,250,10,0,60000,0,20,5,8,8,8,6,1,6,1,77d83794-43b4-4b18-a55b-ddbf563ef936,28591297-758c-46c2-a32f-1c458bea5cd1,2023-11-01 08:00:40,2024-02-22 07:35:17,10,0,10,0,18,7000,144000,2,2,10,0,100,12000,28591297-758c-46c2-a32f-1c458bea5cd1,2028,77d83794-43b4-4b18-a55b-ddbf563ef936,2023-11-01 08:00:40,2023-11-01 08:00:40,2028
b40a622e-df90-4e99-bc77-47a9b6e25bf8,15,180000,2,5,12000,2,0,100,250,10,0,60000,0,20,5,8,8,8,6,1,6,1,77d83794-43b4-4b18-a55b-ddbf563ef936,37ab23fa-1878-436d-baeb-ad84d37b81da,2023-11-01 08:00:41,2024-02-22 07:35:17,10,0,10,0,18,7000,144000,2,2,10,0,100,12000,37ab23fa-1878-436d-baeb-ad84d37b81da,2029,77d83794-43b4-4b18-a55b-ddbf563ef936,2023-11-01 08:00:41,2023-11-01 08:00:41,2029
ddd907c9-ff5f-420e-8e91-c5077e0d62d2,15,180000,2,5,12000,2,0,100,250,10,0,60000,0,20,5,8,8,8,6,1,6,1,77d83794-43b4-4b18-a55b-ddbf563ef936,5398ecbf-192f-4646-9616-5b74d3939fb7,2023-11-01 08:00:41,2024-02-22 07:35:17,10,0,10,0,18,7000,144000,2,2,10,0,100,12000,5398ecbf-192f-4646-9616-5b74d3939fb7,2030,77d83794-43b4-4b18-a55b-ddbf563ef936,2023-11-01 08:00:41,2023-11-01 08:00:41,2030
d88bbaf2-7f61-4265-a2da-9c9a77e8f8b1,15,180000,2,5,12000,2,0,100,250,10,0,60000,0,20,5,8,8,8,6,1,6,1,77d83794-43b4-4b18-a55b-ddbf563ef936,bab6de0d-aedc-4256-906f-ad2ed72186a3,2023-11-01 08:00:41,2024-02-22 07:35:17,10,0,10,0,18,7000,144000,2,2,10,0,100,12000,bab6de0d-aedc-4256-906f-ad2ed72186a3,2031,77d83794-43b4-4b18-a55b-ddbf563ef936,2023-11-01 08:00:41,2023-11-01 08:00:41,2031
8ece21e0-8e71-429d-818e-c7028abb9e79,15,180000,2,5,12000,2,0,100,250,10,0,60000,0,20,5,8,8,8,6,1,6,1,77d83794-43b4-4b18-a55b-ddbf563ef936,71c4124c-add7-4eb6-b875-0f7cf57064ca,2023-11-01 08:00:41,2024-02-22 07:35:17,10,0,10,0,18,7000,144000,2,2,10,0,100,12000,71c4124c-add7-4eb6-b875-0f7cf57064ca,2032,77d83794-43b4-4b18-a55b-ddbf563ef936,2023-11-01 08:00:41,2023-11-01 08:00:41,2032
f4195685-9cc0-4dab-abbd-2e744bfd8fbe,15,180000,2,5,12000,2,0,100,250,10,100,60000,0,20,5,8,8,8,6,1,6,1,77d83794-43b4-4b18-a55b-ddbf563ef936,36eab5a4-f762-49b2-9d3e-edb9591ee365,2023-11-01 08:00:41,2024-01-11 08:24:50,10,0,10,0,18,7000,144000,2,2,10,0,0,12000,36eab5a4-f762-49b2-9d3e-edb9591ee365,2022,77d83794-43b4-4b18-a55b-ddbf563ef936,2023-11-01 08:00:41,2023-11-01 08:00:41,2022
4086206b-33b8-41e2-bb27-861dfa6d2a75,15,180000,2,5,12000,2,0,100,250,10,100,60000,0,20,5,8,8,8,6,1,6,1,e95a5bfb-2afc-4729-ae9d-f1927e92243a,d9247730-5601-43c5-963e-e6a99796402d,2023-11-01 08:00:56,2024-01-11 08:24:50,10,0,10,0,18,7000,144000,2,2,10,0,0,12000,d9247730-5601-43c5-963e-e6a99796402d,2023,e95a5bfb-2afc-4729-ae9d-f1927e92243a,2023-11-01 08:00:56,2023-11-01 08:00:56,2023
